Date,BBCA.JK,TLKM.JK,ASII.JK,BBRI.JK,SIDO.JK,PGAS.JK,ADRO.JK,KAEF.JK,ANTM.JK,INDY.JK
2022-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-12-21,12.74,49.45,40.74,26.71,27.23,9.16,32.27,11.56,20.32,35.37
2022-12-22,12.63,46.97,39.7,25.93,25.58,9.07,32.68,12.12,19.58,35.73
2022-12-23,13.02,45.15,38.92,24.86,24.36,8.99,31.51,12.03,18.4,34.44
2022-12-26,12.93,43.1,38.37,23.88,23.23,9.09,30.15,11.95,17.31,32.19
2022-12-27,12.63,40.53,37.52,22.43,22.18,9.95,28.24,12.58,16.3,30.62
2022-12-28,12.53,38.68,37.29,21.36,21.2,10.9,26.35,14.39,15.81,28.47
2022-12-29,12.82,36.95,37.24,20.52,20.29,11.32,24.94,16.07,15.14,27.15
2022-12-30,12.59,35.17,36.17,19.64,19.45,11.71,24.17,17.64,14.51,25.93
2023-01-02,12.77,33.51,35.37,18.41,19.47,12.71,23.38,19.09,14.14,24.8
2023-01-03,12.93,31.78,34.63,17.27,19.84,13.94,23.36,20.44,13.54,23.3
2023-01-04,14.29,30.18,33.95,17.05,19.63,16.68,24.52,21.69,13.84,23.25
2023-01-05,16.49,28.77,34.99,18.7,19.81,20.26,26.47,23.49,13.12,24.97
2023-01-06,18.74,27.59,36.07,20.37,19.97,23.58,28.28,24.72,12.55,26.9
2023-01-09,19.57,26.15,37.42,21.92,20.83,27.01,30.32,25.86,12.73,28.82
2023-01-10,21.1,24.7,38.67,24.2,22.68,30.2,32.22,26.92,12.71,29.45
