Date,ADRO.JK,ANTM.JK,ASII.JK,BBCA.JK,BBRI.JK,INDY.JK,KAEF.JK,PGAS.JK,SIDO.JK,TLKM.JK
2022-11-14,3516.67,2130.0,6358.33,8800.0,4590.0,2753.33,1386.67,1816.67,755.0,4066.67
2022-11-15,3520.0,2170.0,6258.33,8800.0,4583.33,2803.33,1513.33,1805.0,768.33,4053.33
2022-11-16,3576.67,2076.67,6158.33,8608.33,4540.0,2816.67,1416.67,1798.33,768.33,4026.67
2022-11-17,3566.67,1970.0,6216.67,8716.67,4613.33,2793.33,1380.0,1810.0,751.67,4043.33
2022-11-18,3590.0,1965.0,6241.67,8816.67,4633.33,2810.0,1406.67,1800.0,758.33,4033.33
2022-11-21,3670.0,1971.67,6308.33,8783.33,4593.33,2850.0,1408.33,1801.67,766.67,4033.33
2022-11-22,3700.0,1945.0,6266.67,8900.0,4610.0,2860.0,1351.67,1858.33,765.0,4013.33
2022-11-23,3753.33,1971.67,6233.33,8908.33,4656.67,2866.67,1316.67,1886.67,768.33,3990.0
2022-11-24,3756.67,1973.33,6225.0,8983.33,4710.0,2863.33,1293.33,1885.0,765.0,4016.67
2022-11-25,3723.33,1956.67,6166.67,8958.33,4730.0,2830.0,1286.67,1861.67,771.67,4016.67
2022-11-28,3746.67,1923.33,6216.67,9033.33,4793.33,2856.67,1271.67,1848.33,771.67,4000.0
2022-11-29,3846.67,1951.67,6075.0,8991.67,4833.33,2890.0,1245.0,1863.33,775.0,3993.33
2022-11-30,3883.33,1980.0,6091.67,9183.33,4920.0,2910.0,1251.67,1885.0,781.67,4020.0
2022-12-01,3906.67,2028.33,6158.33,9116.67,4955.0,2956.67,1258.33,1903.33,786.67,3986.67
2022-12-02,3853.33,2040.0,6116.67,8925.0,4893.33,2896.67,1261.67,1890.0,785.0,3983.33
2022-12-05,3810.0,2060.0,6041.67,8816.67,4893.33,2920.0,1243.33,1871.67,771.67,3883.33
2022-12-06,3796.67,1986.67,5900.0,8666.67,4850.0,2896.67,1205.0,1825.0,753.33,3633.33
2022-12-07,3826.67,1935.0,5775.0,8491.67,4780.0,2880.0,1196.67,1828.33,746.67,3650.0
2022-12-08,3763.33,1968.33,5675.0,8475.0,4796.67,2890.0,1176.67,1836.67,760.0,3713.33
2022-12-09,3683.33,1948.33,5691.67,8541.67,4800.0,2876.67,1175.0,1820.0,761.67,3666.67
2022-12-12,3763.33,1941.67,5675.0,8625.0,4820.0,2900.0,1153.33,1811.67,768.33,3683.33
2022-12-13,3756.67,1941.67,5800.0,8650.0,4930.0,2893.33,1155.0,1823.33,761.67,3740.0
2022-12-14,3860.0,1933.33,5850.0,8616.67,4950.0,2920.0,1153.33,1836.67,766.67,3770.0
2022-12-15,3906.67,1931.67,5800.0,8533.33,4910.0,2906.67,1156.67,1818.33,763.33,3686.67
2022-12-16,3886.67,1988.33,5758.33,8550.0,4926.67,2893.33,1143.33,1820.0,753.33,3676.67
2022-12-19,3936.67,2033.33,5733.33,8650.0,4956.67,2913.33,1130.0,1826.67,748.33,3730.0
2022-12-20,3940.0,2008.33,5708.33,8591.67,4923.33,2913.33,1133.33,1823.33,748.33,3723.33
2022-12-21,3910.0,2043.33,5691.67,8650.0,4900.0,2913.33,1133.33,1823.33,761.67,3750.0
2022-12-22,3923.33,2043.33,5741.67,8608.33,4943.33,2916.67,1135.0,1825.0,770.0,3766.67
2022-12-23,3823.33,2008.33,5700.0,8525.0,4900.0,2843.33,1138.33,1800.0,756.67,3753.33
2022-12-26,3810.0,2008.33,5666.67,8566.67,4916.67,2793.33,1140.0,1796.67,755.0,3760.0
2022-12-27,3763.33,2005.0,5691.67,8608.33,4893.33,2830.0,1111.67,1770.0,755.0,3800.0
2022-12-28,3740.0,1986.67,5641.67,8616.67,4836.67,2790.0,1075.0,1760.0,755.0,3750.0
2022-12-29,3776.67,2000.0,5625.0,8558.33,4846.67,2740.0,1088.33,1766.67,755.0,3760.0
2022-12-30,3830.0,1996.67,5700.0,8583.33,4920.0,2733.33,1088.33,1766.67,755.0,3766.67
2023-01-02,3610.0,1988.33,5683.33,8550.0,4870.0,2730.0,1090.0,1750.0,748.33,3783.33
2023-01-03,3536.67,1998.33,5658.33,8558.33,4860.0,2750.0,1091.67,1743.33,745.0,3840.0
2023-01-04,3386.67,2053.33,5666.67,8425.0,4796.67,2683.33,1088.33,1683.33,751.67,3830.0
2023-01-05,3150.0,1983.33,5483.33,8258.33,4656.67,2510.0,1063.33,1588.33,745.0,3770.0
2023-01-06,3140.0,1966.67,5441.67,8241.67,4603.33,2453.33,1080.0,1583.33,741.67,3730.0
2023-01-09,3060.0,2046.67,5375.0,8408.33,4593.33,2436.67,1076.67,1550.0,735.0,3770.0
2023-01-10,3086.67,2033.33,5325.0,8250.0,4470.0,2496.67,1073.33,1553.33,716.67,3810.0
2023-01-11,3156.67,2053.33,5258.33,8091.67,4390.0,2533.33,1045.0,1541.67,706.67,3853.33
2023-01-12,3090.0,2103.33,5308.33,8191.67,4476.67,2486.67,1043.33,1538.33,710.0,3846.67
2023-01-13,3133.33,2136.67,5416.67,8083.33,4476.67,2556.67,1038.33,1538.33,723.33,3803.33
2023-01-16,3106.67,2176.67,5558.33,8133.33,4490.0,2526.67,1035.0,1540.0,728.33,3826.67
2023-01-17,3113.33,2246.67,5566.67,8283.33,4550.0,2536.67,1048.33,1545.0,726.67,3933.33
2023-01-18,3183.33,2246.67,5616.67,8266.67,4593.33,2583.33,1046.67,1565.0,725.0,3946.67
2023-01-19,3200.0,2286.67,5791.67,8308.33,4606.67,2576.67,1041.67,1578.33,725.0,3916.67
2023-01-20,3236.67,2313.33,5858.33,8291.67,4646.67,2616.67,1126.67,1611.67,723.33,3880.0
2023-01-24,3206.67,2316.67,5908.33,8266.67,4630.0,2603.33,1163.33,1610.0,726.67,3870.0
2023-01-25,3146.67,2296.67,5916.67,8233.33,4576.67,2553.33,1098.33,1585.0,730.0,3843.33
2023-01-26,3023.33,2330.0,5900.0,8391.67,4586.67,2433.33,1098.33,1571.67,760.0,3940.0
2023-01-27,3040.0,2306.67,5900.0,8700.0,4640.0,2466.67,1110.0,1571.67,765.0,3966.67
2023-01-30,3030.0,2283.33,5850.0,8683.33,4620.0,2473.33,1106.67,1571.67,765.0,3946.67
2023-01-31,2973.33,2313.33,5975.0,8541.67,4590.0,2430.0,1071.67,1556.67,758.33,3883.33
2023-02-01,2960.0,2360.0,5975.0,8508.33,4663.33,2393.33,1071.67,1576.67,771.67,3870.0
2023-02-02,2903.33,2350.0,5925.0,8458.33,4626.67,2370.0,1076.67,1608.33,783.33,3876.67
2023-02-03,2790.0,2330.0,5908.33,8633.33,4720.0,2300.0,1085.0,1581.67,785.0,3890.0
2023-02-06,2780.0,2283.33,5858.33,8708.33,4743.33,2266.67,1088.33,1578.33,785.0,3880.0
2023-02-07,2900.0,2233.33,5875.0,8816.67,4753.33,2350.0,1085.0,1600.0,786.67,3826.67
2023-02-08,2910.0,2246.67,5825.0,8825.0,4763.33,2360.0,1061.67,1605.0,795.0,3826.67
