Date,ADRO.JK,ANTM.JK,ASII.JK,BBCA.JK,BBRI.JK,INDY.JK,KAEF.JK,PGAS.JK,SIDO.JK,TLKM.JK
2022-11-14,3543.34,2160.0,6416.66,8850.0,4630.0,2806.66,1583.34,1828.34,775.0,4103.34
2022-11-15,3560.0,2210.0,6316.66,8850.0,4606.66,2826.66,1641.66,1820.0,776.66,4076.66
2022-11-16,3633.34,2133.34,6216.66,8666.66,4590.0,2843.34,1448.34,1816.66,776.66,4093.34
2022-11-17,3633.34,2000.0,6383.34,8833.34,4726.66,2856.66,1425.0,1820.0,783.34,4066.66
2022-11-18,3620.0,1980.0,6283.34,8908.34,4656.66,2830.0,1458.34,1810.0,761.66,4056.66
2022-11-21,3730.0,1988.34,6366.66,8841.66,4626.66,2880.0,1436.66,1813.34,778.34,4056.66
2022-11-22,3750.0,1960.0,6308.34,8950.0,4650.0,2890.0,1388.34,1906.66,780.0,4026.66
2022-11-23,3786.66,1988.34,6266.66,8941.66,4683.34,2883.34,1343.34,1908.34,771.66,4010.0
2022-11-24,3773.34,1986.66,6250.0,9016.66,4750.0,2876.66,1306.66,1895.0,770.0,4053.34
2022-11-25,3756.66,1968.34,6208.34,9016.66,4770.0,2860.0,1298.34,1873.34,778.34,4053.34
2022-11-28,3773.34,1936.66,6283.34,9091.66,4856.66,2883.34,1283.34,1861.66,778.34,4020.0
2022-11-29,3913.34,1978.34,6125.0,9058.34,4876.66,2900.0,1265.0,1871.66,780.0,4006.66
2022-11-30,3916.66,1995.0,6158.34,9516.66,5040.0,2930.0,1288.34,1910.0,793.34,4070.0
2022-12-01,3923.34,2071.66,6216.66,9233.34,5010.0,3023.34,1276.66,1916.66,793.34,4013.34
2022-12-02,3886.66,2060.0,6183.34,8950.0,4926.66,2923.34,1268.34,1905.0,790.0,4036.66
2022-12-05,3860.0,2080.0,6083.34,8858.34,4926.66,2950.0,1251.66,1888.34,788.34,3946.66
2022-12-06,3843.34,2028.34,6000.0,8758.34,4900.0,2933.34,1230.0,1850.0,766.66,3686.66
2022-12-07,3873.34,1970.0,5850.0,8533.34,4820.0,2920.0,1203.34,1846.66,763.34,3730.0
2022-12-08,3816.66,2016.66,5800.0,8600.0,4883.34,2960.0,1193.34,1873.34,770.0,3806.66
2022-12-09,3736.66,1966.66,5733.34,8633.34,4840.0,2903.34,1185.0,1845.0,773.34,3703.34
2022-12-12,3856.66,1968.34,5725.0,8775.0,4880.0,2950.0,1171.66,1838.34,776.66,3726.66
2022-12-13,3773.34,1953.34,5925.0,8750.0,5020.0,2916.66,1165.0,1831.66,768.34,3800.0
2022-12-14,3960.0,1951.66,5925.0,8708.34,5030.0,2950.0,1171.66,1853.34,773.34,3800.0
2022-12-15,3963.34,1943.34,5850.0,8566.66,4940.0,2933.34,1163.34,1826.66,766.66,3703.34
2022-12-16,3923.34,2061.66,5816.66,8700.0,5033.34,2916.66,1146.66,1840.0,766.66,3743.34
2022-12-19,4003.34,2066.66,5816.66,8700.0,4993.34,2926.66,1140.0,1833.34,756.66,3780.0
2022-12-20,3970.0,2031.66,5741.66,8633.34,4956.66,2926.66,1146.66,1831.66,761.66,3746.66
2022-12-21,3940.0,2066.66,5733.34,8725.0,4930.0,2936.66,1146.66,1831.66,768.34,3830.0
2022-12-22,3946.66,2066.66,5808.34,8641.66,4986.66,2953.34,1145.0,1835.0,785.0,3793.34
2022-12-23,3846.66,2021.66,5750.0,8550.0,4920.0,2866.66,1151.66,1815.0,763.34,3806.66
2022-12-26,3840.0,2021.66,5708.34,8633.34,4943.34,2816.66,1155.0,1813.34,760.0,3790.0
2022-12-27,3796.66,2025.0,5733.34,8641.66,4926.66,2870.0,1128.34,1785.0,760.0,3850.0
2022-12-28,3780.0,2033.34,5708.34,8683.34,4863.34,2830.0,1125.0,1770.0,760.0,3790.0
2022-12-29,3843.34,2030.0,5700.0,8616.66,4893.34,2770.0,1101.66,1788.34,760.0,3810.0
2022-12-30,3890.0,2008.34,5750.0,8616.66,4970.0,2746.66,1101.66,1773.34,760.0,3783.34
2023-01-02,3630.0,2001.66,5741.66,8600.0,4920.0,2750.0,1100.0,1760.0,756.66,3816.66
2023-01-03,3573.34,2021.66,5691.66,8591.66,4890.0,2790.0,1098.34,1756.66,755.0,3910.0
2023-01-04,3473.34,2096.66,5708.34,8500.0,4823.34,2736.66,1091.66,1716.66,763.34,3850.0
2023-01-05,3220.0,2031.66,5591.66,8366.66,4743.34,2570.0,1076.66,1626.66,755.0,3820.0
2023-01-06,3190.0,2003.34,5533.34,8383.34,4656.66,2506.66,1110.0,1611.66,748.34,3750.0
2023-01-09,3140.0,2083.34,5475.0,8491.66,4636.66,2493.34,1088.34,1595.0,745.0,3810.0
2023-01-10,3193.34,2066.66,5375.0,8350.0,4530.0,2583.34,1081.66,1586.66,728.34,3870.0
2023-01-11,3233.34,2086.66,5316.66,8183.34,4420.0,2596.66,1075.0,1563.34,713.34,3916.66
2023-01-12,3130.0,2166.66,5416.66,8258.34,4543.34,2503.34,1051.66,1556.66,720.0,3913.34
2023-01-13,3156.66,2183.34,5533.34,8141.66,4533.34,2613.34,1046.66,1551.66,736.66,3836.66
2023-01-16,3123.34,2203.34,5641.66,8216.66,4560.0,2553.34,1040.0,1555.0,731.66,3873.34
2023-01-17,3176.66,2313.34,5633.34,8416.66,4590.0,2603.34,1061.66,1555.0,733.34,4006.66
2023-01-18,3216.66,2283.34,5683.34,8358.34,4626.66,2626.66,1058.34,1590.0,730.0,3993.34
2023-01-19,3260.0,2303.34,5933.34,8366.66,4633.34,2613.34,1048.34,1601.66,730.0,3953.34
2023-01-20,3263.34,2346.66,5941.66,8333.34,4673.34,2653.34,1213.34,1638.34,731.66,3910.0
2023-01-24,3243.34,2353.34,5966.66,8308.34,4670.0,2616.66,1241.66,1635.0,733.34,3890.0
2023-01-25,3173.34,2343.34,5983.34,8266.66,4603.34,2576.66,1111.66,1595.0,740.0,3876.66
2023-01-26,3056.66,2360.0,5950.0,8558.34,4623.34,2456.66,1106.66,1588.34,785.0,4030.0
2023-01-27,3100.0,2323.34,5925.0,8850.0,4680.0,2513.34,1120.0,1583.34,770.0,3983.34
2023-01-30,3080.0,2316.66,5925.0,8791.66,4670.0,2506.66,1113.34,1583.34,775.0,3983.34
2023-01-31,3006.66,2336.66,6050.0,8608.34,4610.0,2470.0,1093.34,1568.34,766.66,3916.66
2023-02-01,2990.0,2400.0,6025.0,8566.66,4706.66,2426.66,1093.34,1608.34,793.34,3900.0
2023-02-02,2936.66,2380.0,5975.0,8516.66,4653.34,2390.0,1088.34,1631.66,786.66,3913.34
2023-02-03,2840.0,2380.0,5941.66,8766.66,4810.0,2340.0,1100.0,1598.34,790.0,3910.0
2023-02-06,2840.0,2306.66,5891.66,8766.66,4806.66,2303.34,1106.66,1596.66,790.0,3910.0
2023-02-07,2940.0,2276.66,5925.0,8883.34,4786.66,2410.0,1095.0,1620.0,793.34,3853.34
2023-02-08,2950.0,2273.34,5875.0,8850.0,4816.66,2410.0,1083.34,1615.0,805.0,3863.34
2023-02-09,2880.0,2246.66,5791.66,8933.34,4843.34,2306.66,1071.66,1623.34,805.0,3820.0
2023-02-10,2776.66,2253.34,5750.0,8916.66,4903.34,2240.0,1065.0,1620.0,810.0,3836.66
2023-02-13,2813.34,2253.34,5758.34,8925.0,4866.66,2270.0,1063.34,1640.0,848.34,3816.66
2023-02-14,2863.34,2240.0,5783.34,8991.66,4890.0,2290.0,1050.0,1631.66,886.66,3833.34
2023-02-15,3036.66,2233.34,5741.66,8933.34,4903.34,2296.66,1051.66,1630.0,883.34,3830.0
2023-02-16,2976.66,2180.0,5725.0,8800.0,4890.0,2276.66,1050.0,1608.34,898.34,3796.66
2023-02-17,2920.0,2133.34,5725.0,8808.34,4903.34,2296.66,1055.0,1608.34,895.0,3780.0
2023-02-20,2933.34,2106.66,5675.0,8816.66,4906.66,2260.0,1050.0,1596.66,873.34,3840.0
2023-02-21,2873.34,2116.66,5633.34,8766.66,4860.0,2286.66,1046.66,1591.66,870.0,3863.34
2023-02-22,2893.34,2083.34,5666.66,8741.66,4803.34,2296.66,1081.66,1563.34,898.34,3886.66
2023-02-23,2943.34,2060.0,5708.34,8775.0,4830.0,2273.34,1090.0,1550.0,885.0,3996.66
2023-02-24,2940.0,2026.66,5816.66,8791.66,4813.34,2266.66,1070.0,1548.34,875.0,4070.0
2023-02-27,2970.0,2038.34,5833.34,8816.66,4826.66,2266.66,1066.66,1545.0,870.0,4000.0
