Date,BBCA.JK,TLKM.JK,ASII.JK,BBRI.JK,SIDO.JK,PGAS.JK,ADRO.JK,KAEF.JK,ANTM.JK,INDY.JK
2022-11-14,,,,,,,,,,
2022-11-15,,,,,,,,,,
2022-11-16,,,,,,,,,,
2022-11-17,,,,,,,,,,
2022-11-18,,,,,,,,,,
2022-11-21,,,,,,,,,,
2022-11-22,,,,,,,,,,
2022-11-23,,,,,,,,,,
2022-11-24,,,,,,,,,,
2022-11-25,,,,,,,,,,
2022-11-28,,,,,,,,,,
2022-11-29,,,,,,,,,,
2022-11-30,,,,,,,,,,
2022-12-01,55.9997,37.8983,45.4091,77.9051,75.5681,71.3145,92.3644,23.4802,50.9783,78.8061
2022-12-02,52.8653,46.0405,41.7608,70.2006,67.0587,66.803,78.9298,22.9495,50.9783,73.8709
2022-12-05,47.3739,29.4229,35.6003,70.2006,49.1703,53.9407,64.7338,21.3876,54.3763,73.8709
2022-12-06,43.4824,18.5862,28.7493,65.6806,35.5524,46.9822,67.4369,17.5328,40.1426,73.8709
2022-12-07,36.2645,28.0932,23.814,53.3498,40.0245,48.4155,69.1353,17.5328,35.4137,68.5121
2022-12-08,38.6997,34.2908,22.4317,59.8447,44.1947,52.559,55.1859,16.0424,46.0586,76.009
2022-12-09,42.2632,30.1,22.4317,55.6711,48.0823,40.7957,48.2032,15.3402,40.4214,57.5606
2022-12-12,47.7184,34.8628,22.4317,59.4756,51.7055,47.1633,59.2961,14.987,42.4888,64.9002
2022-12-13,47.7184,39.3156,36.2887,66.8327,44.9492,46.0954,53.1652,14.2788,40.4723,59.3714
2022-12-14,44.7746,39.3156,36.2887,67.3644,51.7403,47.3785,62.824,14.2788,41.9556,62.7856
2022-12-15,40.3111,34.8898,35.0775,60.101,45.6727,43.9953,63.9673,14.2788,41.4001,62.7856
2022-12-16,45.032,35.8617,33.8603,64.252,42.9599,49.2036,62.9253,13.4831,52.8333,57.21
2022-12-19,47.2774,39.7369,30.4472,63.2397,36.0434,46.8572,67.488,12.0383,55.0552,60.945
2022-12-20,44.3508,39.7369,30.4472,57.3972,45.4939,46.8572,62.3254,16.837,51.1618,60.945
2022-12-21,48.8934,46.3195,30.4472,55.5548,50.7216,46.8572,62.3254,19.2102,54.618,62.8266
2022-12-22,44.9426,43.4021,38.2246,60.3519,53.1416,48.3941,62.9822,19.2102,53.2649,54.3646
2022-12-23,42.1891,46.1419,32.9363,53.2748,43.8627,39.7322,51.4013,18.0176,49.3175,40.6177
2022-12-26,45.7674,43.8556,31.7535,56.6929,46.3832,41.3473,50.5668,25.4901,49.3175,34.0036
2022-12-27,46.9461,49.2698,34.2945,51.7963,46.3832,33.5917,46.5019,19.6914,47.9439,45.4772
2022-12-28,49.3188,43.2773,31.7485,48.0702,46.3832,35.2272,46.5019,18.6748,50.8899,39.3394
2022-12-29,45.9959,47.5694,34.372,51.804,46.3832,40.0012,51.0642,18.1696,50.8899,33.4971
2022-12-30,44.9098,45.352,39.39,56.5176,46.3832,37.0596,55.1803,20.4859,47.0313,35.2238
2023-01-02,44.9098,49.5712,39.39,51.1321,41.0444,33.5202,54.2633,20.4859,46.2756,34.2656
2023-01-03,44.9098,54.1463,36.1815,49.6757,41.0444,32.6799,47.4462,23.0131,49.7536,41.16
2023-01-04,36.336,50.8352,38.863,44.2465,47.9876,23.2605,33.2907,22.2515,57.2114,30.1078
2023-01-05,32.9489,46.9687,25.1869,37.1426,40.3175,16.2143,25.765,17.8084,44.987,21.8465
2023-01-06,36.1536,42.7652,31.6615,36.1802,43.5561,23.3579,29.2116,34.0227,47.8126,21.1126
2023-01-09,44.6935,49.2827,28.1619,34.7267,37.0591,20.2578,25.6805,31.5121,56.7778,21.1126
2023-01-10,35.3564,52.2128,27.348,30.1863,30.5219,27.5105,34.241,30.699,54.1084,32.881
2023-01-11,33.9669,55.0119,24.3204,28.255,29.138,24.741,37.0792,26.3117,57.3478,35.1946
2023-01-12,36.6481,54.1578,34.136,38.4353,35.4423,24.4102,33.5685,26.3117,62.9765,30.6443
2023-01-13,33.0366,47.7686,40.756,37.4808,43.5543,27.5403,37.1299,25.6044,64.6511,40.037
