Date,ADRO.JK,ANTM.JK,ASII.JK,BBCA.JK,BBRI.JK,INDY.JK,KAEF.JK,PGAS.JK,SIDO.JK,TLKM.JK
2022-11-14,2951.0,2036.0,5773.0,8545.0,4310.0,2502.0,1485.0,1631.0,744.0,3886.0
2022-11-15,2960.0,2075.0,5704.0,8594.0,4310.0,2548.0,1385.0,1622.0,749.0,3886.0
2022-11-16,3010.0,1950.0,5659.0,8399.0,4253.0,2539.0,1405.0,1627.0,744.0,3886.0
2022-11-17,3027.0,1897.0,5773.0,8521.0,4394.0,2548.0,1380.0,1622.0,739.0,3877.0
2022-11-18,3027.0,1882.0,5704.0,8618.0,4338.0,2548.0,1415.0,1618.0,734.0,3848.0
2022-11-21,3112.0,1882.0,5796.0,8521.0,4319.0,2593.0,1400.0,1622.0,749.0,3867.0
2022-11-22,3120.0,1858.0,5704.0,8692.0,4319.0,2593.0,1330.0,1695.0,749.0,3838.0
2022-11-23,3162.0,1897.0,5681.0,8667.0,4394.0,2593.0,1295.0,1708.0,744.0,3810.0
2022-11-24,3162.0,1892.0,5681.0,8789.0,4441.0,2602.0,1290.0,1690.0,744.0,3867.0
2022-11-25,3145.0,1873.0,5659.0,8765.0,4470.0,2566.0,1280.0,1672.0,754.0,3867.0
2022-11-28,3154.0,1839.0,5704.0,8814.0,4536.0,2602.0,1260.0,1663.0,754.0,3819.0
2022-11-29,3272.0,1887.0,5544.0,8765.0,4564.0,2630.0,1230.0,1677.0,754.0,3819.0
2022-11-30,3263.0,1906.0,5544.0,9082.0,4686.0,2639.0,1260.0,1695.0,763.0,3877.0
2022-12-01,3289.0,1959.0,5659.0,8789.0,4648.0,2639.0,1260.0,1713.0,768.0,3800.0
2022-12-02,3246.0,1959.0,5613.0,8726.0,4601.0,2630.0,1255.0,1704.0,763.0,3838.0
2022-12-05,3187.0,1979.0,5521.0,8603.0,4601.0,2630.0,1240.0,1672.0,749.0,3685.0
2022-12-06,3213.0,1887.0,5384.0,8505.0,4573.0,2630.0,1195.0,1649.0,729.0,3455.0
2022-12-07,3230.0,1844.0,5246.0,8284.0,4479.0,2621.0,1195.0,1654.0,734.0,3531.0
2022-12-08,3154.0,1911.0,5200.0,8333.0,4554.0,2657.0,1175.0,1668.0,739.0,3589.0
2022-12-09,3103.0,1858.0,5200.0,8407.0,4517.0,2612.0,1165.0,1622.0,744.0,3503.0
2022-12-12,3204.0,1873.0,5200.0,8530.0,4564.0,2648.0,1160.0,1645.0,749.0,3551.0
2022-12-13,3154.0,1854.0,5338.0,8530.0,4677.0,2630.0,1150.0,1640.0,739.0,3599.0
2022-12-14,3272.0,1863.0,5338.0,8456.0,4686.0,2648.0,1150.0,1645.0,749.0,3599.0
2022-12-15,3289.0,1858.0,5315.0,8333.0,4620.0,2648.0,1150.0,1631.0,739.0,3522.0
2022-12-16,3280.0,1940.0,5292.0,8431.0,4686.0,2630.0,1140.0,1649.0,734.0,3531.0
2022-12-19,3348.0,1959.0,5223.0,8480.0,4677.0,2648.0,1120.0,1640.0,719.0,3570.0
