Date,ADRO.JK,ANTM.JK,ASII.JK,BBCA.JK,BBRI.JK,INDY.JK,KAEF.JK,PGAS.JK,SIDO.JK,TLKM.JK
2022-11-14,3473.34,2090.0,6241.66,8700.0,4540.0,2696.66,1288.34,1798.34,745.0,4013.34
2022-11-15,3470.0,2120.0,6166.66,8750.0,4556.66,2776.66,1256.66,1785.0,761.66,4026.66
2022-11-16,3513.34,1973.34,6116.66,8541.66,4470.0,2763.34,1373.34,1786.66,756.66,3983.34
2022-11-17,3523.34,1945.0,6133.34,8608.34,4556.66,2736.66,1335.0,1790.0,728.34,4016.66
2022-11-18,3560.0,1945.0,6183.34,8733.34,4586.66,2780.0,1363.34,1785.0,751.66,3986.66
2022-11-21,3630.0,1943.34,6266.66,8666.66,4556.66,2820.0,1371.66,1788.34,758.34,4006.66
2022-11-22,3650.0,1920.0,6183.34,8850.0,4550.0,2820.0,1293.34,1831.66,755.0,3986.66
2022-11-23,3716.66,1958.34,6166.66,8841.66,4643.34,2833.34,1268.34,1873.34,761.66,3950.0
2022-11-24,3733.34,1956.66,6175.0,8966.66,4680.0,2846.66,1276.66,1865.0,760.0,3993.34
2022-11-25,3696.66,1938.34,6133.34,8916.66,4710.0,2790.0,1268.34,1843.34,768.34,3993.34
2022-11-28,3713.34,1901.66,6158.34,8966.66,4756.66,2833.34,1248.34,1831.66,768.34,3960.0
2022-11-29,3813.34,1938.34,6000.0,8908.34,4806.66,2880.0,1210.0,1851.66,770.0,3966.66
2022-11-30,3836.66,1970.0,5983.34,8966.66,4860.0,2880.0,1223.34,1855.0,773.34,3990.0
2022-12-01,3883.34,1996.66,6116.66,8883.34,4885.0,2833.34,1241.66,1886.66,783.34,3933.34
2022-12-02,3816.66,2020.0,6058.34,8875.0,4856.66,2863.34,1248.34,1875.0,780.0,3946.66
2022-12-05,3730.0,2040.0,5983.34,8733.34,4856.66,2860.0,1231.66,1838.34,753.34,3776.66
2022-12-06,3763.34,1923.34,5775.0,8583.34,4810.0,2853.34,1170.0,1805.0,736.66,3546.66
2022-12-07,3783.34,1885.0,5650.0,8408.34,4720.0,2840.0,1188.34,1816.66,738.34,3600.0
2022-12-08,3686.66,1941.66,5550.0,8375.0,4753.34,2850.0,1158.34,1813.34,750.0,3646.66
2022-12-09,3626.66,1916.66,5633.34,8483.34,4760.0,2843.34,1155.0,1775.0,753.34,3613.34
2022-12-12,3706.66,1923.34,5625.0,8550.0,4790.0,2860.0,1141.66,1798.34,761.66,3656.66
2022-12-13,3723.34,1918.34,5700.0,8600.0,4880.0,2866.66,1140.0,1811.66,753.34,3690.0
2022-12-14,3780.0,1921.66,5750.0,8533.34,4900.0,2880.0,1131.66,1808.34,763.34,3720.0
2022-12-15,3843.34,1923.34,5750.0,8466.66,4880.0,2883.34,1143.34,1801.66,756.66,3653.34
2022-12-16,3853.34,1946.66,5716.66,8450.0,4873.34,2866.66,1136.66,1810.0,741.66,3613.34
2022-12-19,3903.34,2006.66,5616.66,8600.0,4933.34,2896.66,1110.0,1813.34,731.66,3670.0
2022-12-20,3890.0,1986.66,5666.66,8533.34,4876.66,2896.66,1116.66,1811.66,741.66,3696.66
2022-12-21,3890.0,2016.66,5658.34,8600.0,4860.0,2896.66,1121.66,1811.66,758.34,3710.0
2022-12-22,3906.66,2006.66,5708.34,8541.66,4916.66,2853.34,1125.0,1815.0,755.0,3723.34
2022-12-23,3786.66,1986.66,5625.0,8475.0,4860.0,2796.66,1111.66,1775.0,743.34,3726.66
2022-12-26,3770.0,1986.66,5608.34,8508.34,4903.34,2746.66,1125.0,1778.34,750.0,3720.0
2022-12-27,3716.66,1970.0,5633.34,8566.66,4836.66,2790.0,1078.34,1740.0,750.0,3760.0
2022-12-28,3710.0,1963.34,5558.34,8583.34,4793.34,2740.0,1035.0,1750.0,750.0,3690.0
2022-12-29,3733.34,1980.0,5575.0,8516.66,4823.34,2690.0,1066.66,1753.34,750.0,3730.0
2022-12-30,3790.0,1973.34,5650.0,8516.66,4890.0,2716.66,1071.66,1753.34,750.0,3733.34
2023-01-02,3570.0,1966.66,5641.66,8500.0,4820.0,2700.0,1075.0,1730.0,736.66,3766.66
2023-01-03,3483.34,1976.66,5616.66,8516.66,4820.0,2720.0,1083.34,1721.66,735.0,3790.0
2023-01-04,3213.34,2006.66,5633.34,8275.0,4743.34,2576.66,1081.66,1626.66,743.34,3800.0
2023-01-05,3030.0,1916.66,5266.66,8141.66,4553.34,2400.0,1036.66,1516.66,730.0,3720.0
2023-01-06,3090.0,1948.34,5358.34,8158.34,4566.66,2386.66,1060.0,1556.66,738.34,3690.0
2023-01-09,2950.0,2023.34,5250.0,8366.66,4546.66,2383.34,1063.34,1490.0,720.0,3750.0
2023-01-10,3033.34,2006.66,5275.0,8075.0,4370.0,2443.34,1061.66,1536.66,698.34,3770.0
2023-01-11,3103.34,2036.66,5166.66,8033.34,4350.0,2486.66,1010.0,1508.34,698.34,3806.66
2023-01-12,3050.0,2066.66,5241.66,8108.34,4433.34,2453.34,1031.66,1506.66,705.0,3793.34
2023-01-13,3116.66,2103.34,5333.34,7991.66,4423.34,2503.34,1026.66,1526.66,716.66,3746.66
